iter	Passed	Remaining
0	4	4682
1	6	3151
2	7	2620
3	9	2329
4	10	2177
5	12	2071
6	14	1990
7	15	1942
8	17	1892
9	18	1856
10	20	1799
11	21	1774
12	22	1715
13	24	1709
14	25	1702
15	27	1692
16	29	1688
17	30	1681
18	32	1668
19	33	1659
20	35	1656
21	37	1649
22	38	1641
23	40	1635
24	41	1628
25	43	1622
26	44	1617
27	46	1614
28	48	1609
29	49	1606
30	51	1603
31	52	1596
32	54	1590
33	56	1592
34	57	1586
35	59	1582
36	60	1579
37	62	1577
38	63	1574
39	65	1570
40	66	1565
41	68	1563
42	70	1559
43	71	1555
44	73	1552
45	74	1548
46	76	1543
47	77	1542
48	79	1539
49	80	1538
50	82	1535
51	84	1532
52	85	1531
53	87	1529
54	88	1525
55	90	1524
56	92	1522
57	93	1520
58	95	1518
59	96	1516
60	98	1514
61	99	1512
62	101	1511
63	103	1510
64	104	1507
65	106	1505
66	107	1503
67	109	1503
68	111	1501
69	112	1500
70	114	1499
71	116	1499
72	117	1497
73	119	1495
74	121	1493
75	122	1491
76	123	1485
77	125	1483
78	126	1480
79	128	1478
80	130	1476
81	131	1474
82	133	1472
83	134	1471
84	136	1469
85	138	1469
86	139	1468
87	141	1467
88	143	1465
89	144	1463
90	145	1456
91	147	1453
92	148	1452
93	150	1450
94	152	1448
95	153	1442
96	154	1440
97	156	1439
98	158	1438
99	159	1436
100	161	1434
101	162	1432
102	164	1430
103	165	1429
104	167	1426
105	169	1425
106	170	1423
107	172	1422
108	174	1423
109	175	1423
110	177	1422
111	179	1421
112	180	1420
113	182	1419
114	184	1417
115	185	1416
116	187	1414
117	189	1413
118	190	1411
119	192	1409
120	193	1407
121	195	1406
122	197	1405
123	198	1403
124	200	1401
125	201	1400
126	203	1400
127	205	1399
128	207	1398
129	208	1397
130	210	1394
131	211	1393
132	213	1390
133	215	1389
134	216	1388
135	217	1384
136	219	1381
137	220	1379
138	222	1377
139	224	1376
140	225	1374
141	227	1372
142	228	1370
143	229	1365
144	230	1361
145	232	1359
146	234	1358
147	235	1355
148	237	1354
149	238	1353
150	240	1351
151	241	1346
152	242	1344
153	244	1343
154	246	1341
155	247	1339
156	249	1338
157	250	1336
158	252	1334
159	254	1333
160	255	1332
